# lambda [m], L_lambda [W/m]
6.534033558e-07,9.631674983e+44
6.615861561e-07,9.337042986e+44
6.707503128e-07,8.887502532e+44
6.854454388e-07,8.79450773e+44
6.982065205e-07,8.802261012e+44
7.10069056e-07,8.409248813e+44
7.194575641e-07,8.121948171e+44
7.29799683e-07,8.402540021e+44
7.435155839e-07,8.696805786e+44
7.562053576e-07,8.941201188e+44
7.650956012e-07,8.369675341e+44
7.743094673e-07,8.105793244e+44
7.841394781e-07,8.112519338e+44
7.922932575e-07,7.931470955e+44
8.033643329e-07,8.182690691e+44
8.168231356e-07,8.417120012e+44
8.228564907e-07,8.254420806e+44
8.393483913e-07,7.883050986e+44
8.51418842e-07,7.400863438e+44
8.62589714e-07,7.695197154e+44
8.718620401e-07,7.856624486e+44
8.844243749e-07,7.928029728e+44
9.00685807e-07,7.838721081e+44
9.156280459e-07,7.882238464e+44
9.350696312e-07,7.567761886e+44
9.490044545e-07,7.523280791e+44
9.680222399e-07,7.418469746e+44
9.859955281e-07,7.291985318e+44
1.003057371e-06,7.166816013e+44
1.023684783e-06,6.99214432e+44
1.051230745e-06,6.719818527e+44
1.081477735e-06,6.397790138e+44
1.10005153e-06,6.138553723e+44
1.137489205e-06,5.859165577e+44
1.174923196e-06,5.563620397e+44
1.204430917e-06,5.30493964e+44
1.249819015e-06,5.073071025e+44
1.272787627e-06,4.879967405e+44
1.29559e-06,4.737606414e+44
1.317487698e-06,4.572257351e+44
1.360446715e-06,4.389992897e+44
1.405348269e-06,4.141665191e+44
1.446215897e-06,4.005343807e+44
1.481317878e-06,3.885550585e+44
1.547200865e-06,3.839970767e+44
1.588562969e-06,3.632069298e+44
1.616945257e-06,3.594466357e+44
1.658554344e-06,3.457934838e+44
1.702714491e-06,3.267917427e+44
1.744071261e-06,3.025765375e+44
1.790479543e-06,2.789174013e+44
1.841825014e-06,2.561763663e+44
1.884670176e-06,2.363930443e+44
1.921661e-06,2.238799179e+44
1.95392381e-06,2.086087982e+44
2.001300471e-06,1.914557635e+44
2.111105997e-06,1.6968678e+44
2.187066522e-06,1.488742702e+44
2.286488203e-06,1.196100951e+44
2.430336054e-06,8.82726405e+43
2.540080169e-06,7.239765387e+43
2.606586742e-06,6.813938797e+43
2.699653981e-06,6.189055873e+43
2.90157992e-06,5.286723993e+43
3.063144841e-06,4.428875584e+43
3.223628631e-06,3.788939939e+43
3.357149673e-06,3.199173061e+43
3.576694422e-06,2.618852274e+43
3.781969016e-06,2.148578065e+43
3.920106617e-06,1.860685136e+43
4.035041724e-06,1.653664109e+43
4.15710886e-06,1.475181495e+43
4.309676322e-06,1.238442931e+43
4.443209292e-06,1.002012012e+43
4.549026139e-06,8.782167755e+42
4.742980824e-06,7.762725916e+42
4.995953744e-06,6.653109469e+42
5.197845562e-06,5.720344814e+42
5.481762983e-06,4.963150581e+42
5.670485742e-06,4.344627252e+42
5.957992878e-06,3.666447963e+42
6.391514711e-06,3.010300591e+42
6.63270851e-06,2.49342739e+42
7.075142913e-06,2.043690147e+42
7.429686471e-06,1.700942187e+42
7.68283293e-06,1.460752485e+42
8.047457976e-06,1.213641498e+42
8.631056195e-06,9.571919436e+41
9.220527274e-06,7.92272505e+41
